trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,FrontIsDigit_inferred,Skip_Task,Skip_Reason,task_start_frame_emr,task_end_frame_emr,diopter_baseline,diopter_onset_frame,diopter_peak_frame,diopter_peak_value,diopter_delta,baseline_frame_start,baseline_frame_end,miosis_frame_start,miosis_frame_end,pupil_left_baseline,pupil_right_baseline,pupil_both_baseline,pupil_left_miosis_mean,pupil_right_miosis_mean,pupil_both_miosis_mean,pupil_left_miosis_min,pupil_right_miosis_min,pupil_both_miosis_min,pupil_left_change_rate_mean,pupil_right_change_rate_mean,pupil_both_change_rate_mean,pupil_left_change_rate_min,pupil_right_change_rate_min,pupil_both_change_rate_min
S103_4_1,S103,4,1,T,filler,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\7_night_rain_busy.jpg,,,,,,,M_4_33_T_filler_7_night_rain_busy_ORIG.jpg,Ignore,2026-01-08T18:50:53.386,1767865853.3861284,0.0,0,0,,,T,7,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_2,S103,4,2,C,filler,0,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\0_night_sun_busy.jpg,brightness,43.12,,,,,M_4_4_C_filler_0_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-08T18:50:56.007,1767865856.0070465,2.620918035507202,157,315,,,C,0,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_3,S103,4,3,I,filler,1,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\1_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_4_18_I_filler_1_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-08T18:50:58.592,1767865858.5929778,5.2068493366241455,312,625,,,I,1,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_4,S103,4,4,E,filler,4,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\4_night_sun_busy.jpg,brightness,43.12,,,,,M_4_1_E_filler_4_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-08T18:51:01.214,1767865861.2148674,7.828738927841186,470,939,,,E,4,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_5,S103,4,5,6,match,6,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\6_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_4_12_6_match_6_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Match,2026-01-08T18:51:03.803,1767865863.8030336,10.416905164718628,625,1250,2026-01-08T18:51:04.944,1.141894817352295,6,6,b,0,Miss,ミス(見逃し),True,False,,1250.0,1549.0,0.0,1300.0,1335.0,3.7772516512246854,3.7772516512246854,1130.0,1249.0,1395.0,1404.0,5.202386666666667,5.114034166666667,5.158210416666666,4.8071,4.42312,4.61511,4.7206,4.3942,4.5659,0.07598179297194374,0.1351015938004587,0.10528853474295224,0.09260877699722445,0.14075662054793356,0.11482866514185908
S103_4_6,S103,4,6,B,filler,6,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\6_night_sun_empty.jpg,,,,,,,M_4_20_B_filler_6_night_sun_empty_ORIG.jpg,Ignore,2026-01-08T18:51:06.392,1767865866.3923657,13.006237030029297,780,1561,,,B,6,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_7,S103,4,7,1,match,1,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\1_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_4_16_1_match_1_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Match,2026-01-08T18:51:08.995,1767865868.9956782,15.60954976081848,937,1873,2026-01-08T18:51:10.535,1.53985595703125,1,1,b,0,Miss,ミス(見逃し),True,False,,1873.0,2172.0,0.0,1935.0,1965.0,3.6429044278981344,3.6429044278981344,1753.0,1872.0,2025.0,2034.0,5.789970555555556,5.503276666666666,5.646623611111111,4.55128,4.19464,4.37296,4.533399999999999,4.1777999999999995,4.3597,0.2139372806252037,0.23779227284593482,0.2255619816070026,0.21702537923096338,0.2408522680124508,0.22791028758828097
S103_4_8,S103,4,8,A,filler,3,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\3_night_sun_busy.jpg,brightness,43.12,,,,,M_4_48_A_filler_3_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-08T18:51:11.616,1767865871.6162007,18.230072259902958,1094,2188,,,A,3,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_9,S103,4,9,6,unmatch,2,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\2_night_sun_empty.jpg,brightness,46.88,,,,,M_4_32_6_unmatch_2_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Mismatch,2026-01-08T18:51:14.212,1767865874.2124045,20.826276063919067,1250,2499,2026-01-08T18:51:15.309,1.0973916053771973,6,2,b,1,Correct Rejection,正解(不一致),True,False,,2499.0,2798.0,0.0,2545.0,2591.0,3.2807452635790866,3.2807452635790866,2379.0,2498.0,2651.0,2660.0,5.574495,5.2091475,5.3918212500000005,5.0735133333333335,4.691239999999999,4.882376666666667,5.0434,4.6522,4.8597,0.08987032308158249,0.09942269824381081,0.09448469444964144,0.09527230717760078,0.10691720670224841,0.09869044712860248
S103_4_10,S103,4,10,A,filler,8,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\8_night_sun_empty.jpg,,,,,,,M_4_17_A_filler_8_night_sun_empty_ORIG.jpg,Ignore,2026-01-08T18:51:16.814,1767865876.8146484,23.42851996421814,1406,2811,,,A,8,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_11,S103,4,11,P,filler,3,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\3_night_rain_busy.jpg,,,,,,,M_4_44_P_filler_3_night_rain_busy_ORIG.jpg,Ignore,2026-01-08T18:51:19.406,1767865879.4069686,26.020840167999268,1561,3123,,,P,3,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_12,S103,4,12,0,unmatch,3,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\3_night_sun_busy.jpg,brightness,43.12,,,,,M_4_45_0_unmatch_3_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Mismatch,2026-01-08T18:51:22.009,1767865882.0098617,28.623733282089237,1717,3435,2026-01-08T18:51:23.116,1.106609344482422,0,3,b,1,Correct Rejection,正解(不一致),True,False,,3435.0,3734.0,0.0,3477.0,3521.0,3.435032077562135,3.435032077562135,3315.0,3434.0,3581.0,3590.0,5.541485833333334,5.277943333333334,5.409714583333332,4.71234,4.28278,4.497560000000001,4.6652000000000005,4.2366,4.450900000000001,0.1496251832578597,0.18855134859980194,0.16861417904441164,0.15813192701175358,0.19730096887487114,0.17723940303381652
S103_4_13,S103,4,13,T,filler,9,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\9_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_4_25_T_filler_9_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-08T18:51:24.598,1767865884.5986185,31.21249008178711,1873,3745,,,T,9,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_14,S103,4,14,Q,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\1_night_sun_busy.jpg,brightness,43.12,,,,,M_4_40_Q_filler_1_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-08T18:51:27.202,1767865887.202011,33.81588292121887,2029,4058,,,Q,1,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_15,S103,4,15,8,match,8,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\8_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_4_47_8_match_8_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Match,2026-01-08T18:51:29.788,1767865889.788272,36.40214371681213,2184,4368,2026-01-08T18:51:30.921,1.1333250999450684,8,8,t,1,Hit,正解(一致),True,False,,4368.0,4667.0,0.0,4424.0,4445.0,3.5173257680385497,3.5173257680385497,4248.0,4367.0,4505.0,4514.0,5.3271375,5.091366666666667,5.209252083333333,4.78408,4.397919999999999,4.591,4.756400000000001,4.374599999999999,4.566800000000001,0.10194170884457174,0.1362004962649192,0.11868346423690858,0.10713774517740512,0.14078079886867326,0.12332904475650483
S103_4_16,S103,4,16,I,filler,2,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\2_night_rain_empty.jpg,brightness,35.62,,,,,M_4_30_I_filler_2_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-08T18:51:32.377,1767865892.3777142,38.99158573150635,2339,4679,,,I,2,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_17,S103,4,17,C,filler,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\7_night_rain_busy.jpg,,,,,,,M_4_2_C_filler_7_night_rain_busy_ORIG.jpg,Ignore,2026-01-08T18:51:34.966,1767865894.9667954,41.58066701889038,2495,4990,,,C,7,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_18,S103,4,18,6,unmatch,3,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\3_night_rain_empty.jpg,,,,,,,M_4_26_6_unmatch_3_night_rain_empty_ORIG.jpg,Mismatch,2026-01-08T18:51:37.557,1767865897.557624,44.17149567604065,2650,5301,2026-01-08T18:51:38.742,1.185008525848389,6,3,b,1,Correct Rejection,正解(不一致),True,False,,5301.0,5600.0,0.0,5357.0,5375.0,3.435565502802585,3.435565502802585,5181.0,5300.0,5435.0,5444.0,5.621765092592593,5.522988981481482,5.572377037037037,5.19196,4.7276,4.95978,5.1738,4.7006,4.9415000000000004,0.0764537623884209,0.14401422565723232,0.10993459935775789,0.07968406456236413,0.14890288288442052,0.11321506654052406
S103_4_19,S103,4,19,I,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\1_night_sun_busy.jpg,brightness,43.12,,,,,M_4_28_I_filler_1_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-08T18:51:40.150,1767865900.150037,46.76390862464905,2806,5612,,,I,1,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_20,S103,4,20,8,unmatch,3,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\3_night_rain_empty.jpg,brightness,35.62,,,,,M_4_41_8_unmatch_3_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Mismatch,2026-01-08T18:51:42.742,1767865902.7420487,49.35592031478882,2961,5923,2026-01-08T18:51:43.932,1.190662145614624,8,3,b,1,Correct Rejection,正解(不一致),True,False,,5923.0,6222.0,0.0,5976.0,5994.0,3.399480557474935,3.399480557474935,5803.0,5922.0,6054.0,6063.0,5.174185,5.0366775,5.10543125,4.817079999999999,4.48176,4.649419999999999,4.8100000000000005,4.4708,4.6404,0.06901666639287167,0.11017530902067868,0.08931885039094405,0.07038499783057604,0.11235134669630924,0.09108559634408946
S103_4_21,S103,4,21,E,filler,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\7_night_rain_empty.jpg,,,,,,,M_4_14_E_filler_7_night_rain_empty_ORIG.jpg,Ignore,2026-01-08T18:51:45.357,1767865905.3576994,51.97157096862793,3118,6237,,,E,7,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_22,S103,4,22,4,match,4,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\4_night_sun_empty.jpg,,,,,,,M_4_3_4_match_4_night_sun_empty_ORIG.jpg,Match,2026-01-08T18:51:47.950,1767865907.950219,54.56409049034119,3274,6548,2026-01-08T18:51:49.096,1.1467235088348389,4,4,t,1,Hit,正解(一致),True,False,,6548.0,6847.0,0.0,6597.0,6630.0,3.5328371895936095,3.5328371895936095,6428.0,6547.0,6690.0,6699.0,5.563938333333332,5.415965,5.489951666666667,5.6892000000000005,5.3797,5.53445,5.609,5.3366,5.472799999999999,-0.02251312993823655,0.006695944305400832,-0.008105414407109063,-0.00809887960057096,0.01465389824343402,0.003124192653791023
S103_4_23,S103,4,23,L,filler,3,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\3_night_rain_empty.jpg,brightness,35.62,,,,,M_4_37_L_filler_3_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-08T18:51:50.543,1767865910.543232,57.157103538513184,3429,6859,,,L,3,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_24,S103,4,24,6,match,6,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\6_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_4_38_6_match_6_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Match,2026-01-08T18:51:53.143,1767865913.1430523,59.75692391395569,3585,7171,2026-01-08T18:51:54.515,1.3727104663848877,6,6,t,1,Hit,正解(一致),True,False,,7171.0,7470.0,0.0,7227.0,7242.0,3.582327703451611,3.582327703451611,7051.0,7170.0,7302.0,7311.0,5.260611666666667,5.1351575,5.197884583333333,4.53758,4.1415,4.3395399999999995,4.4864,4.1188,4.318849999999999,0.13744250906184227,0.1935008809369528,0.16513344411023623,0.1471714157447471,0.19792138800027065,0.16911390956080455
S103_4_25,S103,4,25,J,filler,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\7_night_rain_busy.jpg,,,,,,,M_4_8_J_filler_7_night_rain_busy_ORIG.jpg,Ignore,2026-01-08T18:51:55.730,1767865915.7305198,62.34439134597778,3741,7481,,,J,7,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_26,S103,4,26,L,filler,2,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\2_night_rain_empty.jpg,,,,,,,M_4_22_L_filler_2_night_rain_empty_ORIG.jpg,Ignore,2026-01-08T18:51:58.318,1767865918.318342,64.93221354484558,3896,7792,,,L,2,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_27,S103,4,27,4,match,4,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\4_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_4_9_4_match_4_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Match,2026-01-08T18:52:00.907,1767865920.9075873,67.52145886421204,4051,8103,2026-01-08T18:52:02.099,1.191617488861084,4,4,t,1,Hit,正解(一致),True,False,,8103.0,8402.0,0.0,8164.0,8204.0,3.3204919647651594,3.3204919647651594,7983.0,8102.0,8264.0,8273.0,5.658495833333334,5.5253725000000005,5.591934166666666,4.881780000000001,4.4504399999999995,4.666110000000001,4.820600000000001,4.3991999999999996,4.6099,0.13726542463066227,0.1945448021830204,0.1655642107136155,0.14807748525631445,0.20381838509530367,0.17561618885296248
S103_4_28,S103,4,28,U,filler,5,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\5_night_sun_empty.jpg,brightness,46.88,,,,,M_4_27_U_filler_5_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-08T18:52:03.503,1767865923.503501,70.11737251281738,4207,8414,,,U,5,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_29,S103,4,29,G,filler,4,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\4_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_4_42_G_filler_4_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Ignore,2026-01-08T18:52:06.109,1767865926.1095057,72.7233772277832,4363,8727,,,G,4,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_30,S103,4,30,A,filler,0,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\0_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_4_24_A_filler_0_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-08T18:52:08.712,1767865928.712135,75.32600665092468,4520,9039,,,A,0,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_31,S103,4,31,U,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\1_night_rain_busy.jpg,brightness,45.47,,,,,M_4_21_U_filler_1_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-08T18:52:11.331,1767865931.3314502,77.94532179832458,4677,9353,,,U,1,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_32,S103,4,32,9,unmatch,6,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\6_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_4_29_9_unmatch_6_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Mismatch,2026-01-08T18:52:13.928,1767865933.9287152,80.54258680343628,4833,9665,2026-01-08T18:52:15.247,1.3185362815856934,9,6,b,1,Correct Rejection,正解(不一致),True,False,,9665.0,9964.0,0.0,9737.0,9774.0,3.671125392696198,3.671125392696198,9545.0,9664.0,9834.0,9843.0,5.194863333333333,5.043656666666665,5.11926,4.851999999999999,4.51584,4.683919999999999,4.844799999999999,4.4938,4.6754,0.0660004530115968,0.10464960276836163,0.08503963463469348,0.06738643750012041,0.10901944819135824,0.08670393767849259
S103_4_33,S103,4,33,R,filler,8,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\8_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_4_35_R_filler_8_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-08T18:52:16.525,1767865936.5250466,83.13891816139221,4988,9977,,,R,8,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_34,S103,4,34,8,match,8,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\8_night_sun_busy.jpg,,,,,,,M_4_19_8_match_8_night_sun_busy_ORIG.jpg,Match,2026-01-08T18:52:19.115,1767865939.1156297,85.729501247406,5144,10288,2026-01-08T18:52:20.418,1.3029396533966064,8,8,t,1,Hit,正解(一致),True,False,,10288.0,10587.0,0.0,10361.0,10389.0,3.3596541360725167,3.3596541360725167,10168.0,10287.0,10449.0,10458.0,5.09264,4.819972777777777,4.956306388888889,5.12685,4.7338466666666665,4.930348333333335,5.0784,4.676733333333333,4.877566666666667,-0.006717537465833016,0.017868588699959144,0.005237379112346078,0.002796192151811247,0.02971789490281811,0.015886774554281363
S103_4_35,S103,4,35,C,filler,2,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\2_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_4_34_C_filler_2_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Ignore,2026-01-08T18:52:21.703,1767865941.703633,88.31750464439392,5299,10598,,,C,2,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_36,S103,4,36,U,filler,4,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\4_night_sun_empty.jpg,,,,,,,M_4_10_U_filler_4_night_sun_empty_ORIG.jpg,Ignore,2026-01-08T18:52:24.306,1767865944.3069232,90.92079472541808,5455,10910,,,U,4,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_37,S103,4,37,4,unmatch,8,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\8_night_rain_busy.jpg,brightness,45.47,,,,,M_4_7_4_unmatch_8_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Mismatch,2026-01-08T18:52:26.894,1767865946.89486,93.50873160362244,5611,11221,2026-01-08T18:52:27.994,1.0994715690612793,4,8,b,1,Correct Rejection,正解(不一致),True,False,,11221.0,11520.0,0.0,11272.0,11292.0,3.2482300091554683,3.2482300091554683,11101.0,11220.0,11352.0,11361.0,5.923833333333333,5.5111558333333335,5.717494583333333,4.591620000000001,4.167479999999999,4.37955,4.521,4.1166,4.3187999999999995,0.22489041442759453,0.24381016867756278,0.2340088939014444,0.23681174914891814,0.2530423518236571,0.2446341772514433
S103_4_38,S103,4,38,B,filler,6,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\6_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_4_5_B_filler_6_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Ignore,2026-01-08T18:52:29.506,1767865949.5063837,96.1202552318573,5767,11534,,,B,6,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_39,S103,4,39,1,unmatch,8,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\8_night_sun_busy.jpg,brightness,43.12,,,,,M_4_43_1_unmatch_8_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Mismatch,2026-01-08T18:52:32.110,1767865952.1103418,98.72421336174013,5923,11847,2026-01-08T18:52:33.312,1.2022969722747805,1,8,b,1,Correct Rejection,正解(不一致),True,False,,11847.0,12146.0,0.0,11907.0,11951.0,3.3875531758176587,3.3875531758176587,11727.0,11846.0,12011.0,12020.0,5.612405833333335,5.306145555555556,5.459275694444444,5.01514,4.5877,4.80142,4.9804,4.5714,4.783,0.10641886047976777,0.1353987650797368,0.12050237637089871,0.11260871934451179,0.1384706747794121,0.12387645033802676
