,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization
0,900,1121,3.1431799353449636,2,pictures\transformed\roomBright_figureDark\P.JPG,sharpness,0.8420145825377475,contrast,0.948656602151466,None,None,2,3_P_sharpness0.84_contrast0.95.jpg,3,P,0.95,0.0,0.84,0.0,0.0
1,2400,2626,3.3518001642323303,7,pictures\transformed\roomBright_figureDark\9.JPG,gamma,0.9691888733508954,brightness,8.051166781008575,None,None,0,8_9_gamma0.97_brightness8.1.jpg,8,9,0.0,0.97,0.0,8.1,0.0
2,3600,3829,3.2535334611924047,11,pictures\transformed\roomBright_figureDark\E.JPG,gamma,0.8867423112300991,contrast,1.052974551841728,None,None,1,12_E_gamma0.89_contrast1.1.jpg,12,E,1.1,0.89,0.0,0.0,0.0
3,5400,5641,3.4621106696052433,17,pictures\transformed\roomBright_figureDark\B.JPG,contrast,0.8087364062370561,sharpness,0.8846499596194884,equalization,21.15648587152436,1,18_B_contrast0.81_sharpness0.88_equalization21.0.jpg,18,B,0.81,0.0,0.88,0.0,21.0
4,6900,7121,3.488098616360238,22,pictures\transformed\roomBright_figureDark\Q.JPG,gamma,0.5062449228768553,contrast,0.8349094448309771,None,None,2,23_Q_gamma0.51_contrast0.83.jpg,23,Q,0.83,0.51,0.0,0.0,0.0
5,8400,8643,3.546034630560006,27,pictures\transformed\roomBright_figureDark\E.JPG,contrast,0.9587291430787748,brightness,26.60853405532676,None,None,1,28_E_contrast0.96_brightness27.0.jpg,28,E,0.96,0.0,0.0,27.0,0.0
6,10200,10440,3.4716057454057903,33,pictures\transformed\roomBright_figureDark\P.JPG,contrast,1.000320303898856,sharpness,0.0632683638448761,equalization,13.3611566886266,1,34_P_contrast1.0_sharpness0.063_equalization13.0.jpg,34,P,1.0,0.0,0.063,0.0,13.0
7,11100,11357,3.453358942868838,36,pictures\transformed\roomBright_figureDark\C.JPG,contrast,1.057241829938332,gamma,0.7454688711798931,sharpness,0.611758433643574,1,37_C_contrast1.1_gamma0.75_sharpness0.61.jpg,37,C,1.1,0.75,0.61,0.0,0.0
8,12300,12511,3.2720677676007437,40,pictures\transformed\roomBright_figureDark\B.JPG,contrast,1.088438779233613,gamma,0.8656501764262137,None,None,2,41_B_contrast1.1_gamma0.87.jpg,41,B,1.1,0.87,0.0,0.0,0.0
9,13200,13431,3.565124131545391,43,pictures\transformed\roomBright_figureDark\S.JPG,sharpness,0.2866939132545728,gamma,0.6749891919022407,equalization,24.21341271779503,2,44_S_sharpness0.29_gamma0.67_equalization24.0.jpg,44,S,0.0,0.67,0.29,0.0,24.0
