Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,frame,times,figure,contrast,gamma,sharpness,brightness,equalization
2,pictures\transformed\roomDark_figureBright\S.JPG,gamma,0.9085503263186204,sharpness,0.1216734931660267,equalization,11.98145285987075,2,3_S_gamma0.909_sharpness0.122_equalization11.981.jpg,900,3,S,0,0.909,0.122,0,11.981
5,pictures\transformed\roomDark_figureBright\2.JPG,contrast,0.8467078871398783,gamma,0.9529209927401242,equalization,11.70856493003495,2,6_2_contrast0.847_gamma0.953_equalization11.709.jpg,1800,6,2,0.847,0.953,0,0,11.709
8,pictures\transformed\roomDark_figureBright\9.JPG,brightness,2.902841258032518,contrast,0.8388322566545744,sharpness,0.03857982295860986,0,9_9_brightness2.903_contrast0.839_sharpness0.039.jpg,2700,9,9,0.839,0,0.039,2.903,0
14,pictures\transformed\roomDark_figureBright\3.JPG,gamma,0.5689876127363709,sharpness,0.8166299895373943,equalization,10.64898802279015,0,15_3_gamma0.569_sharpness0.817_equalization10.649.jpg,4500,15,3,0,0.569,0.817,0,10.649
18,pictures\transformed\roomDark_figureBright\P.JPG,contrast,0.9091063521387452,gamma,0.8253961412964187,equalization,4.830222725414661,1,19_P_contrast0.909_gamma0.825_equalization4.83.jpg,5700,19,P,0.909,0.825,0,0,4.83
24,pictures\transformed\roomDark_figureBright\E.JPG,brightness,29.80645374055597,gamma,1.003290986871404,sharpness,0.341779768721996,2,25_E_brightness29.806_gamma1.003_sharpness0.342.jpg,7500,25,E,0,1.003,0.342,29.806,0
41,pictures\transformed\roomDark_figureBright\9.JPG,contrast,0.8382496529590859,gamma,0.6372264973766035,sharpness,0.7671284831343315,0,42_9_contrast0.838_gamma0.637_sharpness0.767.jpg,12600,42,9,0.838,0.637,0.767,0,0
43,pictures\transformed\roomDark_figureBright\2.JPG,brightness,13.2216039508896,gamma,0.9093562214446537,sharpness,0.419049221583549,0,44_2_brightness13.222_gamma0.909_sharpness0.419.jpg,13200,44,2,0,0.909,0.419,13.222,0
44,pictures\transformed\roomDark_figureBright\P.JPG,contrast,0.9949858052553167,gamma,0.5942096184572935,equalization,24.76518817697353,2,45_P_contrast0.995_gamma0.594_equalization24.765.jpg,13500,45,P,0.995,0.594,0,0,24.765
45,pictures\transformed\roomDark_figureBright\3.JPG,brightness,24.9508190775976,contrast,1.093513831660017,gamma,1.065808253241548,0,46_3_brightness24.951_contrast1.094_gamma1.066.jpg,13800,46,3,1.094,1.066,0,24.951,0
