Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,frame,times,figure,contrast,gamma,sharpness,brightness,equalization
2,pictures\transformed\roomBright_figureDark\2.JPG,gamma,0.7279585992174448,equalization,19.58908383420933,None,None,0,3_2_gamma0.73_equalization20.0.jpg,900,3,2,0,0.73,0,0,20.0
6,pictures\transformed\roomBright_figureDark\I.JPG,brightness,12.58043129991407,contrast,0.8944597625915008,sharpness,0.2341242489419844,2,7_I_brightness13.0_contrast0.89_sharpness0.23.jpg,2100,7,I,0.89,0,0.23,13.0,0
10,pictures\transformed\roomBright_figureDark\2.JPG,gamma,0.642702604604009,equalization,16.48986255280235,None,None,2,11_2_gamma0.64_equalization16.0.jpg,3300,11,2,0,0.64,0,0,16.0
11,pictures\transformed\roomBright_figureDark\0.JPG,contrast,0.8852458890137854,gamma,0.6732718247596112,None,None,0,12_0_contrast0.89_gamma0.67.jpg,3600,12,0,0.89,0.67,0,0,0
15,pictures\transformed\roomBright_figureDark\T.JPG,contrast,0.8658845209283375,gamma,0.5083989008949326,equalization,6.901196458788637,1,16_T_contrast0.87_gamma0.51_equalization6.9.jpg,4800,16,T,0.87,0.51,0,0,6.9
18,pictures\transformed\roomBright_figureDark\9.JPG,sharpness,0.3692170059673843,equalization,20.06691901509371,None,None,0,19_9_sharpness0.37_equalization20.0.jpg,5700,19,9,0,0,0.37,0,20.0
22,pictures\transformed\roomBright_figureDark\I.JPG,contrast,1.171781842633377,gamma,0.8364874302506835,None,None,1,23_I_contrast1.2_gamma0.84.jpg,6900,23,I,1.2,0.84,0,0,0
33,pictures\transformed\roomBright_figureDark\1.JPG,contrast,1.048283681072214,equalization,12.98604201176695,None,None,2,34_1_contrast1.0_equalization13.0.jpg,10200,34,1,1.0,0,0,0,13.0
38,pictures\transformed\roomBright_figureDark\C.JPG,sharpness,0.4214561265978478,contrast,1.04281609353852,equalization,24.96196267207523,1,39_C_sharpness0.42_contrast1.0_equalization25.0.jpg,11700,39,C,1.0,0,0.42,0,25.0
45,pictures\transformed\roomBright_figureDark\P.JPG,brightness,16.80284531520428,sharpness,0.4194873632782394,contrast,0.8156466459091032,1,46_P_brightness17.0_sharpness0.42_contrast0.82.jpg,13800,46,P,0.82,0,0.42,17.0,0
46,pictures\transformed\roomBright_figureDark\8.JPG,contrast,1.04096208760238,gamma,0.88775475672984,equalization,6.116989785640692,0,47_8_contrast1.0_gamma0.89_equalization6.1.jpg,14100,47,8,1.0,0.89,0,0,6.1
