frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization
600,766,3.58853820896058,1,pictures\transformed\roomBright_figureDark\Q.JPG,contrast,1.009862423603804,gamma,0.607173022365193,sharpness,0.3426835284933569,2,2_Q_contrast1.0_gamma0.61_sharpness0.34.jpg,2,Q,1.0,0.61,0.34,0.0,0.0
1200,1375,3.957104981995172,3,pictures\transformed\roomBright_figureDark\I.JPG,contrast,1.14358746022607,sharpness,0.9041590044361028,None,None,1,4_I_contrast1.1_sharpness0.9.jpg,4,I,1.1,0.0,0.9,0.0,0.0
3000,3124,2.481364949231273,9,pictures\transformed\roomBright_figureDark\B.JPG,contrast,0.9166936344474148,equalization,4.071153017490914,None,None,1,10_B_contrast0.92_equalization4.1.jpg,10,B,0.92,0.0,0.0,0.0,4.1
3600,3748,1.6928350755427652,11,pictures\transformed\roomBright_figureDark\7.JPG,brightness,20.14990102502588,contrast,1.071304947463759,sharpness,0.9978317735145532,0,12_7_brightness20.0_contrast1.1_sharpness1.0.jpg,12,7,1.1,0.0,1.0,20.0,0.0
4800,4981,1.955691845547281,15,pictures\transformed\roomBright_figureDark\7.JPG,gamma,0.8315591820146353,contrast,1.018704709222528,brightness,5.697219104472761,0,16_7_gamma0.83_contrast1.0_brightness5.7.jpg,16,7,1.0,0.83,0.0,5.7,0.0
7200,7359,2.335226423554028,23,pictures\transformed\roomBright_figureDark\T.JPG,contrast,1.116781378949137,equalization,9.777277707010452,None,None,1,24_T_contrast1.1_equalization9.8.jpg,24,T,1.1,0.0,0.0,0.0,9.8
7800,7925,2.8256569652444194,25,pictures\transformed\roomBright_figureDark\I.JPG,brightness,18.12674134374265,sharpness,0.0304422236250142,None,None,1,26_I_brightness18.0_sharpness0.03.jpg,26,I,0.0,0.0,0.03,18.0,0.0
9000,9120,3.3022481705545133,29,pictures\transformed\roomBright_figureDark\T.JPG,contrast,1.034915237316857,equalization,19.30900562242942,None,None,1,30_T_contrast1.0_equalization19.0.jpg,30,T,1.0,0.0,0.0,0.0,19.0
11400,11520,3.114236420372089,37,pictures\transformed\roomBright_figureDark\C.JPG,contrast,1.04504986889349,equalization,17.45429490572413,None,None,1,38_C_contrast1.0_equalization17.0.jpg,38,C,1.0,0.0,0.0,0.0,17.0
12000,12153,3.886544007337795,39,pictures\transformed\roomBright_figureDark\0.JPG,gamma,0.6141756086050424,brightness,24.62263329516952,None,None,0,40_0_gamma0.61_brightness25.0.jpg,40,0,0.0,0.61,0.0,25.0,0.0
12900,13030,3.4477527547544518,42,pictures\transformed\roomBright_figureDark\7.JPG,sharpness,0.4645238530153489,gamma,1.047317332278436,equalization,9.946679882032571,0,43_7_sharpness0.46_gamma1.0_equalization9.9.jpg,43,7,0.0,1.0,0.46,0.0,9.9
14100,14255,3.9686004333711673,46,pictures\transformed\roomBright_figureDark\8.JPG,gamma,0.8480511064718415,sharpness,0.6048860703238184,equalization,27.22332279060857,0,47_8_gamma0.85_sharpness0.6_equalization27.0.jpg,47,8,0.0,0.85,0.6,0.0,27.0
