frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization
3900.0,4094,3.246810120144368,12.0,pictures\transformed\roomDark_figureBright\E.JPG,brightness,2.736778264392291,gamma,0.6139196463675096,sharpness,0.1769877337371914,1.0,13_E_brightness2.737_gamma0.614_sharpness0.177.jpg,13.0,E,0.0,0.614,0.177,2.737,0.0
7800.0,7955,2.7393908444687005,25.0,pictures\transformed\roomDark_figureBright\P.JPG,brightness,28.7137480569733,contrast,1.010787042831192,gamma,0.5534200504138205,1.0,26_P_brightness28.714_contrast1.011_gamma0.553.jpg,26.0,P,1.011,0.553,0.0,28.714,0.0
8700.0,8872,3.2624548400199505,28.0,pictures\transformed\roomDark_figureBright\8.JPG,contrast,0.945090210216139,gamma,0.8735569962793146,equalization,19.14454819957916,2.0,29_8_contrast0.945_gamma0.874_equalization19.145.jpg,29.0,8,0.945,0.874,0.0,0.0,19.145
9900.0,10071,2.6923628312063483,32.0,pictures\transformed\roomDark_figureBright\T.JPG,brightness,12.18556310553899,contrast,0.8926035692539214,sharpness,0.6561661931712762,1.0,33_T_brightness12.186_contrast0.893_sharpness0.656.jpg,33.0,T,0.893,0.0,0.656,12.186,0.0
11700.0,11885,3.560133642739213,38.0,pictures\transformed\roomDark_figureBright\S.JPG,brightness,10.60503194078626,contrast,0.9418340942190048,sharpness,0.9173673745015832,1.0,39_S_brightness10.605_contrast0.942_sharpness0.917.jpg,39.0,S,0.942,0.0,0.917,10.605,0.0
12000.0,12184,3.405639874710883,39.0,pictures\transformed\roomDark_figureBright\7.JPG,gamma,0.7730748942654068,sharpness,0.7916964456621809,equalization,18.09761294946965,0.0,40_7_gamma0.773_sharpness0.792_equalization18.098.jpg,40.0,7,0.0,0.773,0.792,0.0,18.098
12300.0,12463,3.3598918184426143,40.0,pictures\transformed\roomDark_figureBright\E.JPG,gamma,0.5579462356353728,sharpness,0.0798135976107366,equalization,9.006225709124479,1.0,41_E_gamma0.558_sharpness0.08_equalization9.006.jpg,41.0,E,0.0,0.558,0.08,0.0,9.006
13500.0,13680,3.455584353137125,44.0,pictures\transformed\roomDark_figureBright\0.JPG,contrast,0.8399450068908982,gamma,0.595802250469803,equalization,31.30854597612255,0.0,45_0_contrast0.84_gamma0.596_equalization31.309.jpg,45.0,0,0.84,0.596,0.0,0.0,31.309
13800.0,13963,3.198007527591251,45.0,pictures\transformed\roomDark_figureBright\0.JPG,brightness,24.73312427032214,contrast,1.102623281276559,sharpness,0.1032556305312298,2.0,46_0_brightness24.733_contrast1.103_sharpness0.103.jpg,46.0,0,1.103,0.0,0.103,24.733,0.0
14100.0,14264,3.27575919071902,46.0,pictures\transformed\roomDark_figureBright\7.JPG,brightness,11.57487473912293,contrast,1.155669699259745,gamma,1.091431263708363,0.0,47_7_brightness11.575_contrast1.156_gamma1.091.jpg,47.0,7,1.156,1.091,0.0,11.575,0.0
,14668,2.2350469680723166,,,,,,,,,,,,,,,,,
