Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,frame,times,figure,contrast,gamma,sharpness,brightness,equalization
3,pictures\transformed\roomDark_figureBright\3.JPG,brightness,18.89736679158124,gamma,0.7338277123419183,sharpness,0.06321657694332088,0,4_3_brightness18.897_gamma0.734_sharpness0.063.jpg,1200,4,3,0,0.734,0.063,18.897,0
8,pictures\transformed\roomDark_figureBright\T.JPG,contrast,0.8294958797300062,gamma,1.045700436178673,sharpness,0.1091841118797485,1,9_T_contrast0.829_gamma1.046_sharpness0.109.jpg,2700,9,T,0.829,1.046,0.109,0,0
9,pictures\transformed\roomDark_figureBright\I.JPG,brightness,9.538464757811795,contrast,1.15252856277619,gamma,0.7113254104300444,1,10_I_brightness9.538_contrast1.153_gamma0.711.jpg,3000,10,I,1.153,0.711,0,9.538,0
10,pictures\transformed\roomDark_figureBright\S.JPG,contrast,1.118291090313985,gamma,0.889292837746853,sharpness,0.3539260123959113,1,11_S_contrast1.118_gamma0.889_sharpness0.354.jpg,3300,11,S,1.118,0.889,0.354,0,0
18,pictures\transformed\roomDark_figureBright\P.JPG,brightness,19.86813135244243,gamma,0.98495767336225,sharpness,0.115066483053034,1,19_P_brightness19.868_gamma0.985_sharpness0.115.jpg,5700,19,P,0,0.985,0.115,19.868,0
21,pictures\transformed\roomDark_figureBright\1.JPG,brightness,4.415741375338889,contrast,0.9348172047774033,gamma,1.070209295003319,0,22_1_brightness4.416_contrast0.935_gamma1.07.jpg,6600,22,1,0.935,1.07,0,4.416,0
22,pictures\transformed\roomDark_figureBright\9.JPG,gamma,0.7393387148670963,sharpness,0.9456021056609359,equalization,23.44464405877971,0,23_9_gamma0.739_sharpness0.946_equalization23.445.jpg,6900,23,9,0,0.739,0.946,0,23.445
28,pictures\transformed\roomDark_figureBright\8.JPG,brightness,22.31612853138592,contrast,1.019778354814338,gamma,0.8945385785630229,0,29_8_brightness22.316_contrast1.02_gamma0.895.jpg,8700,29,8,1.02,0.895,0,22.316,0
36,pictures\transformed\roomDark_figureBright\B.JPG,brightness,7.709404189806076,gamma,0.9430354027029976,sharpness,0.1760097468762131,1,37_B_brightness7.709_gamma0.943_sharpness0.176.jpg,11100,37,B,0,0.943,0.176,7.709,0
39,pictures\transformed\roomDark_figureBright\7.JPG,brightness,27.66264963237779,contrast,0.9035690432175554,gamma,0.7415142377911977,0,40_7_brightness27.663_contrast0.904_gamma0.742.jpg,12000,40,7,0.904,0.742,0,27.663,0
41,pictures\transformed\roomDark_figureBright\B.JPG,brightness,26.21643944183613,contrast,0.8981449163291424,sharpness,0.4739092851390928,2,42_B_brightness26.216_contrast0.898_sharpness0.474.jpg,12600,42,B,0.898,0,0.474,26.216,0
43,pictures\transformed\roomDark_figureBright\9.JPG,contrast,0.933116095466273,sharpness,0.6873271279152834,equalization,26.44877851088043,0,44_9_contrast0.933_sharpness0.687_equalization26.449.jpg,13200,44,9,0.933,0,0.687,0,26.449
44,pictures\transformed\roomDark_figureBright\S.JPG,brightness,2.135205166993439,contrast,1.170237886335325,sharpness,0.4797639442151881,1,45_S_brightness2.135_contrast1.17_sharpness0.48.jpg,13500,45,S,1.17,0,0.48,2.135,0
47,pictures\transformed\roomDark_figureBright\C.JPG,brightness,7.241896939455229,contrast,1.135597888111162,gamma,0.6919289741211713,1,48_C_brightness7.242_contrast1.136_gamma0.692.jpg,14400,48,C,1.136,0.692,0,7.242,0
